"","motif","gene","source"
"Bach2.h0","Bach2.h0","BACH2","Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer"
"M04451","M04451","BACH2","Yin2017"
"M04452","M04452","BACH2","Yin2017"
"M04453","M04453","BACH2","Yin2017"
"M10607","M10607","BACH2","HOMER"
"M11061","M11061","BACH2","Transfac"
"MA1101.3","MA1101.3","BACH2","JASPAR"
"MA1470.2","MA1470.2","BACH2","JASPAR"
"BACH2.h0","BACH2.h0","BACH2","BACH2/MA1101.2/Jaspar"
"BACH2.h1","BACH2.h1","BACH2","BACH2(var.2)/MA1470.1/Jaspar"
"BACH2.e0","BACH2.e0","BACH2","Bach2_transfac_M00490"
"Barhl1.h0","Barhl1.h0","BARHL1","PH0005.1_Barhl1/Jaspar"
"MA0877.4","MA0877.4","BARHL1","JASPAR"
"BARHL1.h0","BARHL1.h0","BARHL1","BARHL1/MA0877.2/Jaspar"
"BARHL1.e0","BARHL1.e0","BARHL1","Barhl1_bulyk_cell08-2590.2"
"BARHL1.e1","BARHL1.e1","BARHL1","Barhl1_jolma_DBD_M467"
"BARHL1.e2","BARHL1.e2","BARHL1","Barhl1_jolma_DBD_M468"
"BARHL1.e3","BARHL1.e3","BARHL1","Barhl1_jolma_DBD_M469"
"Barhl2.h0","Barhl2.h0","BARHL2","PH0006.1_Barhl2/Jaspar"
"MA0635.2","MA0635.2","BARHL2","JASPAR"
"BARHL2.h0","BARHL2.h0","BARHL2","BARHL2/MA0635.1/Jaspar"
"BARHL2.e0","BARHL2.e0","BARHL2","Barhl2_bulyk_cell08-3868.1"
"BARHL2.e1","BARHL2.e1","BARHL2","BARHL2_jolma_DBD_M458"
"BARHL2.e2","BARHL2.e2","BARHL2","BARHL2_jolma_DBD_M459"
"BARHL2.e3","BARHL2.e3","BARHL2","BARHL2_jolma_DBD_M460"
"BARHL2.e4","BARHL2.e4","BARHL2","BARHL2_jolma_full_M461"
"BARHL2.e5","BARHL2.e5","BARHL2","BARHL2_jolma_full_M462"
"BARHL2.e6","BARHL2.e6","BARHL2","BARHL2_jolma_full_M463"
"Barx1.h1","Barx1.h1","BARX1","PH0007.1_Barx1/Jaspar"
"M03348","M03348","BARX1","Jolma2013"
"M03349","M03349","BARX1","Jolma2013"
"MA0875.2","MA0875.2","BARX1","JASPAR"
"BARX1.h0","BARX1.h0","BARX1","BARX1/MA0875.1/Jaspar"
"BARX1.e0","BARX1.e0","BARX1","Barx1_bulyk_cell08-2877.1"
"BARX1.e1","BARX1.e1","BARX1","BARX1_jolma_DBD_M464"
"BARX1.e2","BARX1.e2","BARX1","BARX1_jolma_DBD_M465"
"Barx2.h0","Barx2.h0","BARX2","PH0008.1_Barx2/Jaspar"
"M05119","M05119","BARX2","Yin2017"
"M05120","M05120","BARX2","Yin2017"
"MA1471.2","MA1471.2","BARX2","JASPAR"
"BARX2.h0","BARX2.h0","BARX2","BARX2/MA1471.1/Jaspar"
"BARX2.e0","BARX2.e0","BARX2","Barx2_bulyk_cell08-3447.2"
"M10618","M10618","BATF","HOMER"
"M04511","M04511","BATF","Yin2017"
"M04512","M04512","BATF","Yin2017"
"M08279","M08279","BATF","ENCODE"
"MA1634.2","MA1634.2","BATF","JASPAR"
"BATF.h0","BATF.h0","BATF","BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer"
"BATF.h1","BATF.h1","BATF","BATF/MA1634.1/Jaspar"
"BATF.e0","BATF.e0","BATF","BATF_GM12878_encode-Myers_seq_hsa_r1:AligCE#1#Intergenic"
"BATF.e1","BATF.e1","BATF","BATF_GM12878_encode-Myers_seq_hsa_r1:Trawler#3#Intergenic"
"BATF.e2","BATF.e2","BATF","BATF_GM12878_encode-Myers_seq_hsa_r1:Trawler#2#Intergenic"
"BATF.e3","BATF.e3","BATF","BATF3_1"
"MA0462.3","MA0462.3","BATF--JUN","JASPAR"
"BATF--JUN.h0","BATF--JUN.h0","BATF--JUN","BATF::JUN/MA0462.2/Jaspar"
"M03037","M03037","BATF3","Jolma2013"
"M04229","M04229","BATF3","RodriguezMartinez2017"
"M04230","M04230","BATF3","RodriguezMartinez2017"
"M04472","M04472","BATF3","Yin2017"
"M04473","M04473","BATF3","Yin2017"
"M04474","M04474","BATF3","Yin2017"
"M04475","M04475","BATF3","Yin2017"
"MA0835.3","MA0835.3","BATF3","JASPAR"
"BATF3.h0","BATF3.h0","BATF3","BATF3/MA0835.2/Jaspar"
"Bbx.h0","Bbx.h0","BBX","PB0005.1_Bbx_1/Jaspar"
"Bbx.h1","Bbx.h1","BBX","PB0109.1_Bbx_2/Jaspar"
"BBX.e0","BBX.e0","BBX","Bbx_bulyk_sc09-primary"
"Bcl11a.h0","Bcl11a.h0","BCL11A","Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer"
"M01066","M01066","BCL11A","Liu2018"
"M08384","M08384","BCL11A","ENCODE"
"MA2324.1","MA2324.1","BCL11A","JASPAR"
"BCL11A.e0","BCL11A.e0","BCL11A","BCL11A_GM12878_encode-Myers_seq_hsa_r1:MDscan#3#Intergenic"
"BCL11A.e1","BCL11A.e1","BCL11A","BCL11A_GM12878_encode-Myers_seq_hsa_r1:MEME#1#Intergenic"
"MA1989.2","MA1989.2","BCL11B","JASPAR"
"M01068","M01068","BCL11B","Liu2018"
"M01069","M01069","BCL11B","Liu2018"
"M01070","M01070","BCL11B","Liu2018"
"M04657","M04657","BCL11B","Yin2017"
"M04658","M04658","BCL11B","Yin2017"
"BCL3.e0","BCL3.e0","BCL3","BCL3_H1-hESC_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic"
"BCL3.e1","BCL3.e1","BCL3","BCL3_K562_encode-Myers_seq_hsa_r1:Weeder#2#Intergenic"
"BCL3.e2","BCL3.e2","BCL3","BCL3_GM12878_encode-Myers_seq_hsa_r1:MEME#1#Intergenic"
"BCL3.e3","BCL3.e3","BCL3","BCL3_H1-hESC_encode-Myers_seq_hsa_r1:Trawler#1#Intergenic"
"M08607","M08607","BCL6","hmCHIP"
"M10636","M10636","BCL6","HOMER"
"Bcl6.h0","Bcl6.h0","BCL6","Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer"
"M00282","M00282","BCL6","Barrera2016"
"M04628","M04628","BCL6","Yin2017"
"M04629","M04629","BCL6","Yin2017"
"M04630","M04630","BCL6","Yin2017"
"M04631","M04631","BCL6","Yin2017"
"MA0463.3","MA0463.3","BCL6","JASPAR"
"BCL6.h0","BCL6.h0","BCL6","BCL6/MA0463.2/Jaspar"
"M00183","M00183","BCL6B","Badis09"
"Bcl6b.h0","Bcl6b.h0","BCL6B","PB0006.1_Bcl6b_1/Jaspar"
"Bcl6b.h1","Bcl6b.h1","BCL6B","PB0110.1_Bcl6b_2/Jaspar"
"M03100","M03100","BCL6B","Jolma2013"
"M04703","M04703","BCL6B","Yin2017"
"M04704","M04704","BCL6B","Yin2017"
"M04705","M04705","BCL6B","Yin2017"
"M04706","M04706","BCL6B","Yin2017"
"MA0731.1","MA0731.1","BCL6B","JASPAR"
"BCL6B.h0","BCL6B.h0","BCL6B","BCL6B/MA0731.1/Jaspar"
"BCL6B.e0","BCL6B.e0","BCL6B","Bcl6b_bulyk_sc09-primary"
"BCL6B.e1","BCL6B.e1","BCL6B","BCL6B_jolma_DBD_M1"
"BCLAF1.e0","BCLAF1.e0","BCLAF1","BCLAF1_K562_encode-Myers_seq_hsa_M33-P5B11_r1:MDscan#2#Intergenic"
"BCLAF1.e1","BCLAF1.e1","BCLAF1","BCLAF1_K562_encode-Myers_seq_hsa_M33-P5B11_r1:AligCE#3#Intergenic"
"BCLAF1.e2","BCLAF1.e2","BCLAF1","BCLAF1_GM12878_encode-Myers_seq_hsa_v041610.1-M33-P5B11_r1:AligCE#1#Intergenic"
"BCLAF1.e3","BCLAF1.e3","BCLAF1","BCLAF1_GM12878_encode-Myers_seq_hsa_v041610.1-M33-P5B11_r1:AligCE#3#Intergenic"
"BDP1.e0","BDP1.e0","BDP1","GTF3C2_K562_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic"
"BDP1.e1","BDP1.e1","BDP1","GTF3C2_K562_encode-Snyder_seq_hsa_r1:Weeder#3#Intergenic"
"BDP1.e2","BDP1.e2","BDP1","POLR3A_HeLa-S3_encode-Snyder_seq_hsa_r1:AligCE#1#Intergenic"
"M01831","M01831","BHLHA15","Zoo_01"
"MA1472.3","MA1472.3","BHLHA15","JASPAR"
"Bhlha15.h0","Bhlha15.h0","BHLHA15","Bhlha15/MA0607.1/Jaspar"
"M03007","M03007","BHLHA15","Jolma2013"
"M04399","M04399","BHLHA15","Yin2017"
"M04400","M04400","BHLHA15","Yin2017"
"M04401","M04401","BHLHA15","Yin2017"
"M04402","M04402","BHLHA15","Yin2017"
"MA0607.2","MA0607.2","BHLHA15","JASPAR"
"BHLHA15.h0","BHLHA15.h0","BHLHA15","BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer"
"BHLHA15.h1","BHLHA15.h1","BHLHA15","BHLHA15(var.2)/MA1472.1/Jaspar"
"BHLHA15.e0","BHLHA15.e0","BHLHA15","BHLHA15_jolma_DBD_M309"
"M08204","M08204","BHLHA9","CodeBook"
"M01811","M01811","BHLHE22","Zoo_01"
"M03008","M03008","BHLHE22","Jolma2013"
"M04403","M04403","BHLHE22","Yin2017"
"M04404","M04404","BHLHE22","Yin2017"
"MA0818.2","MA0818.2","BHLHE22","JASPAR"
"MA1635.2","MA1635.2","BHLHE22","JASPAR"
"BHLHE22.h0","BHLHE22.h0","BHLHE22","BHLHE22/MA0818.1/Jaspar"
"BHLHE22.h1","BHLHE22.h1","BHLHE22","BHLHE22(var.2)/MA1635.1/Jaspar"
"BHLHE22.e0","BHLHE22.e0","BHLHE22","BHLHE22_jolma_DBD_M312"
"M03822","M03822","BHLHE23","Nitta2015"
"M06381","M06381","BHLHE23","FlyFactorSurvey"
"M06382","M06382","BHLHE23","FlyFactorSurvey"
"M06383","M06383","BHLHE23","FlyFactorSurvey"
"M02988","M02988","BHLHE23","Jolma2013"
"M04312","M04312","BHLHE23","Yin2017"
"M04313","M04313","BHLHE23","Yin2017"
"M04314","M04314","BHLHE23","Yin2017"
"M04315","M04315","BHLHE23","Yin2017"
"MA0817.2","MA0817.2","BHLHE23","JASPAR"
"BHLHE23.h0","BHLHE23.h0","BHLHE23","BHLHE23/MA0817.1/Jaspar"
"BHLHE23.e0","BHLHE23.e0","BHLHE23","BHLHE23_jolma_DBD_M313"
"bHLHE40.h0","bHLHE40.h0","BHLHE40","bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer"
"M00174","M00174","BHLHE40","Badis09"
"M03021","M03021","BHLHE40","Jolma2013"
"M03022","M03022","BHLHE40","Jolma2013"
